AARS1	hsa:16	alanyl-tRNA synthetase 1
AASS	hsa:10157	aminoadipate-semialdehyde synthase
ABAT	hsa:18	4-aminobutyrate aminotransferase
ABCA10	hsa:10349	ATP binding cassette subfamily A member 10
ABCA13	hsa:154664	ATP binding cassette subfamily A member 13
ABCA2	hsa:20	ATP binding cassette subfamily A member 2
ABCA7	hsa:10347	ATP binding cassette subfamily A member 7
ABCB7	hsa:22	ATP binding cassette subfamily B member 7
ABCC9	hsa:10060	ATP binding cassette subfamily C member 9
ABCD1	hsa:215	ATP binding cassette subfamily D member 1
ABCD4	hsa:5826	ATP binding cassette subfamily D member 4
ABHD5	hsa:51099	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
ABI2	hsa:10152	abl interactor 2
ACACA	hsa:31	acetyl-CoA carboxylase alpha
ACACB	hsa:32	acetyl-CoA carboxylase beta
ACADM	hsa:34	acyl-CoA dehydrogenase medium chain
ACADS	hsa:35	acyl-CoA dehydrogenase short chain
ACE	hsa:1636	angiotensin I converting enzyme
ACHE	hsa:43	acetylcholinesterase (Cartwright blood group)
ACO2	hsa:50	aconitase 2
ACOX1	hsa:51	acyl-CoA oxidase 1
ACSF3	hsa:197322	acyl-CoA synthetase family member 3
ACSL4	hsa:2182	acyl-CoA synthetase long chain family member 4
ACTB	hsa:60	actin beta
ACTC1	hsa:70	actin alpha cardiac muscle 1
ACTG1	hsa:71	actin gamma 1
ACTL6A	hsa:86	actin like 6A
ACTL6B	hsa:51412	actin like 6B
ACTN4	hsa:81	actinin alpha 4
ACVR1	hsa:90	activin A receptor type 1
ACY1	hsa:95	aminoacylase 1
ADA	hsa:100	adenosine deaminase
ADAR	hsa:103	adenosine deaminase RNA specific
ADCY3	hsa:109	adenylate cyclase 3
ADCY5	hsa:111	adenylate cyclase 5
ADK	hsa:132	adenosine kinase
ADORA2A	hsa:135	adenosine A2a receptor
ADORA3	hsa:140	adenosine A3 receptor
ADRB2	hsa:154	adrenoceptor beta 2
ADSL	hsa:158	adenylosuccinate lyase
ADSS2	hsa:159	adenylosuccinate synthase 2
AFF4	hsa:27125	AF4/FMR2 family member 4
AGA	hsa:175	aspartylglucosaminidase
AGAP1	hsa:116987	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
AGAP2	hsa:116986	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2
AGAP5	hsa:729092	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5
AGPAT2	hsa:10555	1-acylglycerol-3-phosphate O-acyltransferase 2
AGPAT5	hsa:55326	1-acylglycerol-3-phosphate O-acyltransferase 5
AGPS	hsa:8540	alkylglycerone phosphate synthase
AGTR2	hsa:186	angiotensin II receptor type 2
AHCTF1	hsa:25909	AT-hook containing transcription factor 1
AHCY	hsa:191	adenosylhomocysteinase
AHCYL1	hsa:10768	adenosylhomocysteinase like 1
AHNAK	hsa:79026	AHNAK nucleoprotein
