AASS	hsa:10157	aminoadipate-semialdehyde synthase
ABAT	hsa:18	4-aminobutyrate aminotransferase
ACACA	hsa:31	acetyl-CoA carboxylase alpha
ACADM	hsa:34	acyl-CoA dehydrogenase medium chain
ACADS	hsa:35	acyl-CoA dehydrogenase short chain
ACO2	hsa:50	aconitase 2
ACOX1	hsa:51	acyl-CoA oxidase 1
ADSL	hsa:158	adenylosuccinate lyase
ADSS2	hsa:159	adenylosuccinate synthase 2
AGPAT2	hsa:10555	1-acylglycerol-3-phosphate O-acyltransferase 2
AGPAT5	hsa:55326	1-acylglycerol-3-phosphate O-acyltransferase 5
AHCY	hsa:191	adenosylhomocysteinase
AHCYL1	hsa:10768	adenosylhomocysteinase like 1
AK1	hsa:203	adenylate kinase 1
ALDH18A1	hsa:5832	aldehyde dehydrogenase 18 family member A1
ALDH3A2	hsa:224	aldehyde dehydrogenase 3 family member A2
ALDH5A1	hsa:7915	aldehyde dehydrogenase 5 family member A1
ALDH7A1	hsa:501	aldehyde dehydrogenase 7 family member A1
ALG1	hsa:56052	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
ALG11	hsa:440138	ALG11 alpha-1,2-mannosyltransferase
ALG12	hsa:79087	ALG12 alpha-1,6-mannosyltransferase
ALG13	hsa:79868	ALG13 UDP-N-acetylglucosaminyltransferase subunit
ALG2	hsa:85365	ALG2 alpha-1,3/1,6-mannosyltransferase
ALG3	hsa:10195	ALG3 alpha-1,3- mannosyltransferase
ALG6	hsa:29929	ALG6 alpha-1,3-glucosyltransferase
ALG8	hsa:79053	ALG8 alpha-1,3-glucosyltransferase
ALG9	hsa:79796	ALG9 alpha-1,2-mannosyltransferase
AMT	hsa:275	aminomethyltransferase
ARG1	hsa:383	arginase 1
ARSB	hsa:411	arylsulfatase B
ASAH1	hsa:427	N-acylsphingosine amidohydrolase 1
ASL	hsa:435	argininosuccinate lyase
ASMT	hsa:438	acetylserotonin O-methyltransferase
ATIC	hsa:471	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ATP5F1A	hsa:498	ATP synthase F1 subunit alpha
ATP6	hsa:4508	ATP synthase F0 subunit 6
ATP6V0A1	hsa:535	ATPase H+ transporting V0 subunit a1
ATP6V0A2	hsa:23545	ATPase H+ transporting V0 subunit a2
ATP6V1A	hsa:523	ATPase H+ transporting V1 subunit A
ATP6V1B2	hsa:526	ATPase H+ transporting V1 subunit B2
AUH	hsa:549	AU RNA binding methylglutaconyl-CoA hydratase
B3GALNT2	hsa:148789	beta-1,3-N-acetylgalactosaminyltransferase 2
B3GALT6	hsa:126792	beta-1,3-galactosyltransferase 6
B4GALT1	hsa:2683	beta-1,4-galactosyltransferase 1
B4GALT7	hsa:11285	beta-1,4-galactosyltransferase 7
BCKDHA	hsa:593	branched chain keto acid dehydrogenase E1 subunit alpha
BCKDHB	hsa:594	branched chain keto acid dehydrogenase E1 subunit beta
CAD	hsa:790	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
CBS	hsa:875	cystathionine beta-synthase
CEPT1	hsa:10390	choline/ethanolamine phosphotransferase 1
CHKB	hsa:1120	choline kinase beta
COASY	hsa:80347	Coenzyme A synthase
COX1	hsa:4512	cytochrome c oxidase subunit I
