ACADM	hsa:34	acyl-CoA dehydrogenase medium chain
ACADS	hsa:35	acyl-CoA dehydrogenase short chain
ACOX1	hsa:51	acyl-CoA oxidase 1
ACSL4	hsa:2182	acyl-CoA synthetase long chain family member 4
ACTB	hsa:60	actin beta
ACTG1	hsa:71	actin gamma 1
ACTN4	hsa:81	actinin alpha 4
ADCY3	hsa:109	adenylate cyclase 3
ADCY5	hsa:111	adenylate cyclase 5
ADRB2	hsa:154	adrenoceptor beta 2
AHNAK	hsa:79026	AHNAK nucleoprotein
AKT3	hsa:10000	AKT serine/threonine kinase 3
ALG1	hsa:56052	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
ALG11	hsa:440138	ALG11 alpha-1,2-mannosyltransferase
ALG12	hsa:79087	ALG12 alpha-1,6-mannosyltransferase
ALG13	hsa:79868	ALG13 UDP-N-acetylglucosaminyltransferase subunit
ALG2	hsa:85365	ALG2 alpha-1,3/1,6-mannosyltransferase
ALG3	hsa:10195	ALG3 alpha-1,3- mannosyltransferase
ALG6	hsa:29929	ALG6 alpha-1,3-glucosyltransferase
ALG8	hsa:79053	ALG8 alpha-1,3-glucosyltransferase
ALG9	hsa:79796	ALG9 alpha-1,2-mannosyltransferase
ANAPC1	hsa:64682	anaphase promoting complex subunit 1
AR	hsa:367	androgen receptor
ARCN1	hsa:372	archain 1
ARF1	hsa:375	ADP ribosylation factor 1
ARG1	hsa:383	arginase 1
ARNT2	hsa:9915	aryl hydrocarbon receptor nuclear translocator 2
ARSA	hsa:410	arylsulfatase A
ARSB	hsa:411	arylsulfatase B
ASAH1	hsa:427	N-acylsphingosine amidohydrolase 1
ASL	hsa:435	argininosuccinate lyase
ATM	hsa:472	ATM serine/threonine kinase
ATP1A1	hsa:476	ATPase Na+/K+ transporting subunit alpha 1
ATP2A2	hsa:488	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ATR	hsa:545	ATR serine/threonine kinase
AUH	hsa:549	AU RNA binding methylglutaconyl-CoA hydratase
B3GALNT2	hsa:148789	beta-1,3-N-acetylgalactosaminyltransferase 2
B4GALT1	hsa:2683	beta-1,4-galactosyltransferase 1
BCAP31	hsa:10134	B cell receptor associated protein 31
BCKDHA	hsa:593	branched chain keto acid dehydrogenase E1 subunit alpha
BCKDHB	hsa:594	branched chain keto acid dehydrogenase E1 subunit beta
BCL11B	hsa:64919	BAF chromatin remodeling complex subunit BCL11B
BRAF	hsa:673	B-Raf proto-oncogene, serine/threonine kinase
BTRC	hsa:8945	beta-transducin repeat containing E3 ubiquitin protein ligase
BUB1B	hsa:701	BUB1 mitotic checkpoint serine/threonine kinase B
C1QC	hsa:714	complement C1q C chain
C4B	hsa:721	complement C4B (Chido blood group)
CACNA1A	hsa:773	calcium voltage-gated channel subunit alpha1 A
CACNA1B	hsa:774	calcium voltage-gated channel subunit alpha1 B
CACNA1C	hsa:775	calcium voltage-gated channel subunit alpha1 C
CACNA1D	hsa:776	calcium voltage-gated channel subunit alpha1 D
CACNA1E	hsa:777	calcium voltage-gated channel subunit alpha1 E
CACNA1F	hsa:778	calcium voltage-gated channel subunit alpha1 F
CACNA1G	hsa:8913	calcium voltage-gated channel subunit alpha1 G
CACNA1H	hsa:8912	calcium voltage-gated channel subunit alpha1 H
CACNA1I	hsa:8911	calcium voltage-gated channel subunit alpha1 I
CAMK2A	hsa:815	calcium/calmodulin dependent protein kinase II alpha
CAMK2B	hsa:816	calcium/calmodulin dependent protein kinase II beta
CAMK2G	hsa:818	calcium/calmodulin dependent protein kinase II gamma
CAMK4	hsa:814	calcium/calmodulin dependent protein kinase IV
CBL	hsa:867	Cbl proto-oncogene
CCNB1	hsa:891	cyclin B1
CCND2	hsa:894	cyclin D2
CDC42	hsa:998	cell division cycle 42
CDC6	hsa:990	cell division cycle 6
CDK6	hsa:1021	cyclin dependent kinase 6
CDK9	hsa:1025	cyclin dependent kinase 9
