index	KEGG_entry_ID	name	total_count	genes	19CT051360	19CT044120	19CT034631	19CT048087	19CT046369	19CT040719	20A0002478	19CT044751	19CT040732	19CT030002	19CT020478	DS187051	19PA009426	19CT036423	19CT016837	19CT024854	19CT028732	20A0000620	18PA008847	19CT040892	18PA004616	19CT035369	19CT036523	18PA004934	19CT044501	19CT034845	19CT039895	19CT052347	19CT013554	19CT041295	19PA009444	19CT044338	19CT024296	19CT024299	20A0000412	19CT039890	19CT030925	20A0007427	19CT031559	19CT046414	19CT034643	20A0004401	18PA004940	19CT031909	20A0004025	19CT014597	20A0002063	20A0000618	19CT039201
12	hsa03036	Chromosome and associated proteins	557	['PCDHA3', 'PCDHA5', 'CUL7', 'CHD7', 'SETD1A', 'KMT2B', 'WDR62', 'SETDB1', 'NUP133', 'SMARCA2', 'PRMT5', 'CDH2', 'SETBP1', 'KDM4B', 'NCOA6', 'SMARCAD1', 'PCDHA1', 'EP400', 'YY1', 'TUBB4A', 'MTF2', 'SYNE1', 'TAF6', 'SRCAP', 'PCNT', 'LBR', 'PCDHA11', 'ESCO2', 'ARID4A', 'STARD9', 'DLGAP1', 'GPSM2', 'PCM1', 'KAT6A', 'RSF1', 'CENPJ', 'BUB1B', 'MCM3AP', 'TNRC6B', 'ALMS1', 'OBSL1', 'HDAC4', 'PCDHA9', 'KDM1B', 'AUTS2', 'KMT2E', 'MCPH1', 'KDM5A', 'ARID2', 'BICRA', 'NINL', 'DNMT3B', 'PRKACB', 'NIPBL', 'CEP41', 'CDK5RAP2', 'TAF5', 'CHD8', 'ASPM', 'KDM5B', 'TET2', 'NSD1', 'KIF11', 'SIN3A', 'MORC3', 'BRD1', 'TUBGCP6', 'NCAPH2', 'SPEN', 'DYNC1I2', 'CENPE', 'KDM4C', 'KDM6B', 'POGZ', 'EPC2', 'PCDHA4', 'CSPP1', 'ELP4', 'CHD4', 'KMT2D', 'DYNC1H1', 'ANKRD11', 'DISC1', 'ANKRD17', 'BRCA2', 'ZWILCH', 'ASXL1', 'BCOR', 'YEATS2', 'ADNP', 'PCDHA13', 'ARID1B', 'AKAP9', 'UBN2', 'TUBA1A', 'ASH1L', 'KAT2B', 'BBS4', 'CHD3', 'APC2', 'NSD2', 'ELP2', 'KIZ', 'MSL3', 'ORC1', 'NCOA1', 'MBD5', 'ALS2', 'PCDHA8', 'JARID2', 'PAX2', 'CEP290', 'SALL1', 'RTN2', 'MYT1L', 'SETD5', 'KMT5B', 'CEP152', 'MAPK3', 'TET3', 'SETD2', 'PHF2', 'SETD1B', 'NUBPL', 'PLK4', 'ERCC6', 'CDH13', 'TUBA8', 'CEP55', 'DCTN2', 'ASXL3', 'H3-3A', 'PCDHA12', 'PCDHAC1', 'HDAC9', 'NCAPG2', 'DDHD2', 'SMC2', 'DDX6', 'SUPT16H', 'MYO1E', 'STAG1', 'PIBF1', 'SUZ12', 'CEP104', 'CENPF', 'TUBGCP2', 'HERC2', 'SMC1A', 'DLG1', 'ARID1A', 'CCNB1', 'CEP120', 'CREBBP', 'PCDHA10', 'AHDC1', 'SASS6', 'PHF21A', 'NUP107', 'CHD1', 'HCFC1', 'ASXL2', 'BRPF1', 'KMT2C', 'RAD21', 'TOP2A', 'ANAPC1', 'TUBB2A', 'STIL', 'NCOA2', 'PCDHAC2', 'BPTF', 'BRD4', 'BRPF3', 'CDT1', 'SIN3B', 'MBD4', 'H1-4', 'SMARCC1', 'CEP57', 'JMJD1C', 'EP300', 'MECP2']	7	8	6	9	8	9	20	10	15	13	15	11	4	20	10	11	22	11	14	14	7	11	20	6	12	14	5	7	6	11	28	9	18	14	9	7	4	20	12	15	13	10	5	5	15	11	10	8	8
1	hsa04131	Membrane trafficking	500	['KIF21B', 'TTN', 'MUC12', 'WDFY4', 'AP4S1', 'MYO9B', 'EMC1', 'NRXN1', 'RAB3GAP1', 'KALRN', 'DOCK8', 'DENND5A', 'ANKS1B', 'NCOA6', 'MLC1', 'PLCD4', 'CADPS', 'SAMD9', 'TSPOAP1', 'EPG5', 'LDLR', 'UNC13A', 'TRAPPC11', 'TRIO', 'RIMS1', 'DOCK4', 'WASHC4', 'LINGO1', 'PLCG2', 'KPTN', 'PLCB1', 'CLTCL1', 'SZT2', 'LNPK', 'WDFY3', 'JMY', 'CASKIN1', 'GORAB', 'RAB11FIP5', 'PCLO', 'VPS37A', 'AP3B2', 'COG8', 'ITGB3', 'EPS15L1', 'PIK3CG', 'RIN3', 'TECPR2', 'PIEZO2', 'MYO18B', 'AP4B1', 'HTT', 'PEX6', 'EXOC6', 'WDR45B', 'DOCK6', 'AP1B1', 'ARFGEF1', 'RIC1', 'NLGN4Y', 'SRGAP3', 'PRKN', 'VPS13B', 'APBB1', 'LRP1', 'AGAP2', 'DLG4', 'VPS16', 'TRAPPC12', 'ARHGAP32', 'NLGN3', 'IQSEC1', 'EXOC5', 'NBAS', 'MEGF10', 'PACS1', 'NBEA', 'AP4E1', 'COG4', 'ITCH', 'ARV1', 'AP3B1', 'RIMS2', 'ASAP2', 'TBC1D5', 'MAPKAP1', 'COPA', 'COLEC11', 'PAX2', 'RTN2', 'PEX3', 'WWP1', 'FKRP', 'GFAP', 'CCDC22', 'ARHGAP31', 'ASAP1', 'NRXN2', 'VPS13D', 'LRP2', 'LRBA', 'CEP55', 'WDR45', 'FAM126A', 'LAMP2', 'MEGF11', 'MYO1E', 'AGAP1', 'DOCK3', 'MYO5A', 'DNAJC6', 'PIK3R2', 'RAPGEF4', 'RAB27A', 'DMXL2', 'SYNJ1', 'CORO1A', 'TRAPPC8', 'STXBP5L', 'COG6', 'SNX27', 'MTOR', 'LRP12', 'COG1', 'RUSC2', 'THBS1', 'DEPDC5', 'AP4M1', 'PGAP3', 'HK1', 'FKTN', 'STXBP5', 'KIF5A', 'OSBPL6', 'NRXN3', 'TBC1D24', 'DOCK7', 'AGAP5', 'NRP2', 'TRAPPC2L']	6	10	12	13	8	3	20	13	23	9	10	9	10	23	10	7	13	9	9	6	13	8	12	9	15	9	4	9	11	9	15	6	5	9	9	9	6	11	11	10	9	5	3	18	13	11	11	11	6
2	hsa04812	Cytoskeleton proteins	409	['KIF21B', 'TTN', 'ANK2', 'KATNB1', 'KIF1C', 'DNAH17', 'MYO9B', 'FMN2', 'FLNC', 'PLEC', 'MAP1B', 'DIAPH1', 'DST', 'MYO16', 'TUBB4A', 'ANK3', 'GAS2', 'DNAH10', 'MYH4', 'KRT26', 'FLG', 'NHS', 'MAP9', 'FLNA', 'DIP2B', 'SPTB', 'MYH10', 'SPECC1L', 'DMD', 'SHROOM4', 'KIF13B', 'MYO18B', 'KIF1A', 'CLIP2', 'KIF11', 'TUBGCP6', 'DYNC1I2', 'KIFBP', 'DYNC1H1', 'IQGAP3', 'KATNAL1', 'MAP1A', 'DNAH3', 'CTNNA3', 'TUBA1A', 'KIF1B', 'ADD3', 'APC2', 'SPTBN1', 'MYH14', 'GFAP', 'TUBA8', 'DCTN2', 'KIF14', 'MACF1', 'MYO1E', 'MYO5A', 'TUBGCP2', 'EML1', 'CORO1A', 'KIF4A', 'TUBB2A', 'SPTAN1', 'WASF1', 'KIF5A']	8	3	10	10	10	14	26	9	19	4	3	6	7	15	9	5	6	8	7	6	7	3	13	9	5	7	1	8	9	5	10	8	6	7	5	4	5	12	9	17	7	4	6	16	10	9	8	12	2
6	hsa04147	Exosome	259	['TTN', 'PTK7', 'PON1', 'COL18A1', 'HSPG2', 'RAB3GAP1', 'KALRN', 'FGA', 'DLD', 'FLNC', 'FUCA1', 'NAGLU', 'TUBB4A', 'ROBO2', 'FAT1', 'COL4A2', 'KRT26', 'CLTCL1', 'CCT4', 'ASAH1', 'FLNA', 'ATP1A2', 'DPP4', 'VPS37A', 'DAAM1', 'ENO3', 'MYH10', 'ITGB3', 'GK', 'MLANA', 'COL4A1', 'ATIC', 'ACE', 'CTSD', 'DYNC1H1', 'IQGAP3', 'PHGDH', 'TUBA1A', 'ETFA', 'ABCC9', 'COPA', 'MYH14', 'MAPK3', 'ATP6V0A1', 'TUBA8', 'H3-3A', 'ASL', 'LAMP2', 'HPD', 'MYO1E', 'GNAS', 'TUBGCP2', 'FCRL6', 'FAH', 'CORO1A', 'FASN', 'ATP6V0A2', 'GSS', 'ARSL', 'TUBB2A', 'AHCY', 'FOLR1', 'SPR', 'MOGS', 'ATP6V1B2', 'KIF5A', 'GBE1', 'POTEH']	4	6	6	9	5	5	18	6	9	1	4	5	5	14	3	4	6	4	5	2	5	4	9	5	5	4	1	6	7	3	6	6	2	4	4	3	5	4	8	10	6	2	4	9	3	6	4	2	1
20	hsa03000	Transcription factors	208	['KMT2B', 'ESR2', 'ZBTB1', 'CASZ1', 'GLIS1', 'ZNF142', 'ZBTB24', 'YY1', 'MEIS2', 'RAI1', 'HIVEP3', 'MTF2', 'ZBTB11', 'GLI3', 'ESRRB', 'CIC', 'FOSL2', 'PAX8', 'ZFHX3', 'MAF', 'ZNF559', 'ARX', 'NPAS2', 'KAT6A', 'PTF1A', 'TBX2', 'EMX2', 'DNMT3B', 'TET2', 'TWIST1', 'CAMTA1', 'ARNT2', 'GLI2', 'DLX2', 'EN2', 'PKNOX1', 'MSX2', 'ADNP', 'CUX1', 'GLIS3', 'GSX2', 'NKX2-1', 'RORA', 'ZNF335', 'ZFPM2', 'ZNF462', 'PAX2', 'MYT1L', 'TET3', 'RFX3', 'GATA6', 'TCF12', 'ZNF18', 'MYCN', 'OTX1', 'DLX6', 'SOX6', 'CUX2', 'TBX1', 'THRB', 'MTF1', 'TSHZ3', 'HIVEP2', 'NFE2L3', 'FEZF2', 'CREBBP', 'ZEB2', 'PAX5', 'RBL2', 'SIX3', 'FOXG1', 'MNT', 'DEAF1', 'ZNF423', 'SOX3', 'SOX4', 'MKX', 'RHOXF1', 'SIM1', 'FOXP1', 'REST', 'NR4A2', 'FOXP4', 'HOXA1', 'HESX1', 'EP300']	1	2	8	7	7	6	2	1	6	5	3	5	2	3	1	4	5	4	3	4	1	6	9	3	2	2	2	4	6	3	11	3	6	3	3	4	2	4	6	5	6	4	6	8	7	2	6	3	2
7	hsa01001	Protein kinases	195	['TTN', 'PTK7', 'MET', 'MAP3K10', 'KALRN', 'ATM', 'PRKDC', 'TRIO', 'FGFR2', 'DMPK', 'CDC7', 'BUB1B', 'PRKCG', 'COQ8A', 'ATR', 'PDGFRB', 'STYK1', 'PRKACB', 'EIF2AK3', 'EPHB2', 'MAP3K7', 'PRKCB', 'PRKD2', 'FGFR3', 'CDK10', 'CDK13', 'TAOK2', 'EIF2AK2', 'NTRK1', 'RPS6KA2', 'MAPK3', 'MAST1', 'PLK4', 'MYLK', 'STK39', 'LMTK3', 'CSF1R', 'IGF1R', 'MAP3K5', 'BRAF', 'VRK1', 'CAMK4', 'FRK', 'SCYL1', 'CIT', 'MTOR', 'BMPR1B', 'NTRK3', 'BRD4', 'ROR2', 'PAK2', 'CDK8']	4	2	3	4	8	4	10	7	7	2	3	8	5	9	4	2	1	6	2	1	6	0	4	5	4	3	2	4	7	3	3	1	4	4	2	2	4	7	4	6	4	3	1	8	3	4	1	3	1
18	hsa03037	Cilium and associated proteins	163	['RPGRIP1L', 'MKS1', 'DNAH17', 'DOCK4', 'DNAH10', 'ARMC9', 'KATNIP', 'GPSM2', 'USH2A', 'CCT4', 'PCM1', 'HYDIN', 'CCDC88A', 'ALMS1', 'CPLANE1', 'CEP41', 'SCAPER', 'NPHP1', 'TMEM237', 'CC2D2A', 'ZSWIM6', 'DYNC2I1', 'RTTN', 'WDPCP', 'BBS9', 'CSPP1', 'DISC1', 'DNAH3', 'BBS5', 'BBS1', 'BBS4', 'IFT172', 'TCTN3', 'CEP290', 'AHI1', 'SUFU', 'TTC8', 'BBS12', 'TOGARAM1', 'CEP104', 'TUB', 'BBS7', 'BBS2', 'ZNF423', 'ARL13B', 'B9D1', 'CBY1', 'FAM149B1', 'TMEM216', 'CIB2', 'TBC1D24']	3	0	1	3	2	6	5	5	10	3	2	4	0	4	4	3	4	3	1	3	0	2	6	2	3	1	3	1	4	1	6	4	1	1	3	4	0	8	10	4	6	3	2	7	1	5	2	5	2
5	hsa04040	Ion channels	140	['SCN3A', 'UNC80', 'SCN9A', 'CACNA2D2', 'CACNB2', 'GRIN2A', 'CNGB3', 'KCNA4', 'NALCN', 'CACNA1E', 'RYR2', 'CACNA1H', 'SCN4A', 'CACNA1I', 'SCN10A', 'ITPR1', 'KCNQ2', 'GRIK2', 'PIEZO2', 'CACNA1D', 'CLCN7', 'CHRNA2', 'TRPV4', 'GRIK5', 'ANO10', 'HCN1', 'KCNMA1', 'TRPM3', 'CACNA1F', 'GRIA4', 'KCNQ4', 'HTR3A', 'GABRA2', 'CACNA1B', 'SCN1B', 'KCNJ12', 'KCNN3', 'KCNT2', 'ANO3', 'TRPC6', 'GRIN2D', 'CACNA2D1', 'KCNQ3', 'GRIN2B', 'SCN2A', 'KCNC1', 'CACNA1G', 'KCNT1', 'GRIA2', 'GRIK4', 'CHRNA4', 'CACNA2D3', 'CACNA1A', 'GABRB1', 'GABRG2', 'KCNS3', 'KCNA2', 'KCNH1']	2	4	2	3	7	4	4	3	2	5	3	4	1	2	2	7	2	6	2	1	3	2	3	1	1	1	1	4	2	2	5	3	3	5	4	1	1	3	2	2	0	3	2	5	4	6	1	1	3
13	hsa04515	Cell adhesion molecules	127	['PCDHA3', 'PCDHA5', 'CDH2', 'FAT4', 'PCDHA1', 'CADM1', 'CNTN6', 'ROBO2', 'FAT1', 'PCDHA11', 'SDK1', 'NEGR1', 'CDH11', 'PCDHA9', 'DCHS1', 'PCDH9', 'ITGB3', 'PCDH11X', 'CADM2', 'PCDHA4', 'L1CAM', 'PCDH12', 'PCDHA13', 'PCDHA8', 'DSCAM', 'CNTN4', 'CDH13', 'PCDHA12', 'PCDHAC1', 'MAG', 'CDH22', 'PCDHA10', 'CNTN3', 'CNTN5', 'PCDHAC2']	2	1	3	8	4	2	7	2	1	2	4	2	1	7	1	0	4	3	0	4	0	2	7	2	2	0	1	4	2	1	5	1	3	2	2	2	1	9	3	3	4	0	2	2	2	4	0	2	1
17	hsa01009	Protein phosphatases and associated proteins	127	['RPGRIP1L', 'PHLPP1', 'MAP1B', 'MYO16', 'SLC12A2', 'CSMD1', 'TSC2', 'HYDIN', 'SH3RF3', 'ITPR1', 'KDM5A', 'PCDH9', 'PCDH11X', 'NCOR1', 'KDM5B', 'PPP1R21', 'MPHOSPH10', 'PTPRB', 'PPP1R12A', 'TMEM132D', 'CLCN7', 'CENPE', 'PDPR', 'MAP1A', 'PPP1R15B', 'AKAP9', 'UBN2', 'TNS2', 'PNKP', 'APC2', 'EIF2AK2', 'ANKRD28', 'CTDP1', 'PPP4R1', 'MYO1E', 'SBF1', 'LMTK3', 'PPM1B', 'HCFC1', 'AHCY']	1	1	2	0	1	4	6	1	9	3	2	1	1	10	1	7	1	3	1	0	0	3	6	4	5	4	4	2	0	2	3	2	0	1	0	3	4	1	3	4	1	1	6	4	4	1	0	3	1
