index	KEGG_entry_ID	name	total_count	genes	19CT051360	19CT044120	19CT034631	19CT048087	19CT046369	19CT040719	20A0002478	19CT044751	19CT040732	19CT030002	19CT020478	DS187051	19PA009426	19CT036423	19CT016837	19CT024854	19CT028732	20A0000620	18PA008847	19CT040892	18PA004616	19CT035369	19CT036523	18PA004934	19CT044501	19CT034845	19CT039895	19CT052347	19CT013554	19CT041295	19PA009444	19CT044338	19CT024296	19CT024299	20A0000412	19CT039890	19CT030925	20A0007427	19CT031559	19CT046414	19CT034643	20A0004401	18PA004940	19CT031909	20A0004025	19CT014597	20A0002063	20A0000618	19CT039201
7	hsa_M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	14	['DLD', 'DHTKD1', 'ALDH7A1', 'AASS', 'GCDH']	0	2	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0
8	hsa_M00009	Citrate cycle	12	['DLD', 'FH', 'SDHA', 'IDH2', 'MDH2', 'SUCLG1']	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0	hsa_M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	11	['DBT', 'DLD', 'ACADM', 'MCCC2', 'IVD', 'MCCC1', 'BCKDHB']	1	1	1	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
1	hsa_M00055	N-glycan precursor biosynthesis	9	['ALG3', 'ALG6', 'DPAGT1', 'ALG9', 'ALG12', 'ALG2', 'ALG13']	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
25	hsa_M00872	O-glycan biosynthesis, mannose type	9	['POMT1', 'POMT2', 'FKRP', 'CRPPA', 'POMGNT2', 'FKTN']	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
9	hsa_M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	9	['DLD', 'FH', 'SDHA', 'MDH2', 'SUCLG1']	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
42	hsa_M00158	F-type ATPase, eukaryotes	8	['ATP5F1A']	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
17	hsa_M00065	GPI-anchor biosynthesis, core oligosaccharide	8	['PIGQ', 'PIGV', 'PIGG', 'PIGN', 'PIGH']	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
14	hsa_M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	7	['PLCD4', 'PLCG2', 'PLCB1']	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
33	hsa_M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	7	['ALDH7A1', 'MAOB', 'ALDH3A2']	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
32	hsa_M00079	Keratan sulfate degradation	7	['HEXB', 'GALNS', 'HEXA']	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
44	hsa_M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	6	['PCCB', 'PCCA']	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
43	hsa_M00373	Ethylmalonyl pathway	6	['PCCB', 'PCCA']	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
10	hsa_M00532	Photorespiration	5	['DLD', 'AMT', 'GCSH', 'GLDC']	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
30	hsa_M00173	Reductive citrate cycle	5	['FH', 'IDH2']	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
54	hsa_M00029	Urea cycle	5	['CPS1', 'ASL']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
49	hsa_M00154	Cytochrome c oxidase	5	['COX10', 'COX15']	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
18	hsa_M00078	Heparan sulfate degradation	5	['NAGLU', 'SGSH', 'HGSNAT', 'IDS']	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	hsa_M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	5	['TKT']	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
27	hsa_M00165	Reductive pentose phosphate cycle	5	['TKT']	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
26	hsa_M00056	O-glycan biosynthesis, mucin type core	5	['GALNT13', 'GALNT8', 'GALNT10']	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
39	hsa_M00077	Chondroitin sulfate degradation	4	['GALNS']	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
12	hsa_M00092	Phosphatidylethanolamine	4	['CHKB']	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
13	hsa_M00090	Phosphatidylcholine	4	['CHKB']	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	hsa_M00087	beta-Oxidation	4	['ACOX1', 'ACADM']	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	hsa_M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	4	['EXT2', 'NDST1', 'EXT1']	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
46	hsa_M00126	Tetrahydrofolate biosynthesis, GTP => THF	4	['DHFR', 'GCH1']	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	hsa_M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	4	['GCH1', 'SPR']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
37	hsa_M00035	Methionine degradation	4	['DNMT3B', 'AHCY']	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
65	hsa_M00027	GABA	4	['GAD1', 'ALDH5A1']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
15	hsa_M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	4	['CYP27A1', 'HSD17B4', 'SCP2']	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	hsa_M00861	beta-Oxidation, peroxisome, VLCFA	4	['ACOX1', 'HSD17B4', 'SCP2']	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	hsa_M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	4	['DHCR7', 'NSDHL', 'EBP', 'DHCR24']	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
21	hsa_M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	4	['CYP11B1']	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	hsa_M00160	V-type ATPase, eukaryotes	3	['ATP6V0A1', 'ATP6V0A2', 'ATP6V1B2']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
63	hsa_M00044	Tyrosine degradation, tyrosine => homogentisate	3	['HPD', 'FAH']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
57	hsa_M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	3	['PMM2', 'GMPPA', 'MPI']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
56	hsa_M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	3	['GCH1']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	hsa_M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	3	['UROC1']	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
47	hsa_M00020	Serine biosynthesis, glycerate-3P => serine	3	['PHGDH']	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	hsa_M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	3	['GPHN', 'MOCS2', 'MOCS1']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
67	hsa_M00740	Methylaspartate cycle	3	['IDH2']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	hsa_M00143	NADH dehydrogenase	3	['NDUFS4', 'NDUFS2', 'NDUFV1']	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	hsa_M00917	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol	3	['DHCR7', 'EBP', 'DHCR24']	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5	hsa_M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	3	['ACOX1', 'ACADS']	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
38	hsa_M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	3	['GPT2', 'GOT2', 'MDH2']	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	hsa_M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	3	['IDH2']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
62	hsa_M00844	Arginine biosynthesis, ornithine => arginine	2	['ASL']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	hsa_M00072	N-glycosylation by oligosaccharyltransferase	2	['DDOST']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
71	hsa_M00082	Fatty acid biosynthesis, initiation	2	['FASN']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	hsa_M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	2	['DPYD']	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	hsa_M00015	Proline biosynthesis, glutamate => proline	2	['ALDH18A1', 'PYCR2']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
34	hsa_M00001	Glycolysis	2	['ENO3', 'HK1']	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3	hsa_M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	2	['PGM3', 'HK1']	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
31	hsa_M00376	3-Hydroxypropionate bi-cycle	2	['FH']	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	hsa_M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	2	['ADSL', 'ATIC']	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	hsa_M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	2	['ADSL', 'ADSS2']	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
