index	KEGG_entry_ID	name	total_count	genes	19CT051360	19CT044120	19CT034631	19CT048087	19CT046369	19CT040719	20A0002478	19CT044751	19CT040732	19CT030002	19CT020478	DS187051	19PA009426	19CT036423	19CT016837	19CT024854	19CT028732	20A0000620	18PA008847	19CT040892	18PA004616	19CT035369	19CT036523	18PA004934	19CT044501	19CT034845	19CT039895	19CT052347	19CT013554	19CT041295	19PA009444	19CT044338	19CT024296	19CT024299	20A0000412	19CT039890	19CT030925	20A0007427	19CT031559	19CT046414	19CT034643	20A0004401	18PA004940	19CT031909	20A0004025	19CT014597	20A0002063	20A0000618	19CT039201
23	06461	Huntington disease	97	['DNAH17', 'MAP3K10', 'GRIN2A', 'TUBB4A', 'DNAH10', 'PLCB1', 'CACNA1E', 'CACNA1H', 'CACNA1I', 'ITPR1', 'CACNA1D', 'HTT', 'MAP3K7', 'SIN3A', 'DLG4', 'DNAH3', 'CACNA1F', 'TUBA1A', 'CACNA1B', 'GRIN2D', 'TUBA8', 'DCTN2', 'SDHA', 'GRIN2B', 'CACNA1G', 'TUBB2A', 'CACNA1A', 'REST', 'KIF5A']	2	0	3	3	3	2	3	0	6	1	2	2	0	2	2	3	1	1	1	3	1	0	4	1	0	3	0	3	0	1	3	3	1	3	5	0	0	5	3	1	3	1	3	5	0	2	2	2	2
10	06463	Parkinson disease	84	['NDUFS4', 'DNAH17', 'TUBB4A', 'DNAH10', 'PLCB1', 'CACNA1E', 'CACNA1H', 'CACNA1I', 'PRKCG', 'ITPR1', 'GPR37', 'EIF2AK3', 'CACNA1D', 'PRKN', 'PRKCB', 'DNAH3', 'CACNA1F', 'TUBA1A', 'CACNA1B', 'MAOB', 'NDUFS2', 'TUBA8', 'NDUFA5', 'DCTN2', 'NDUFV1', 'SDHA', 'TH', 'CACNA1G', 'MAP3K5', 'TUBB2A', 'CACNA1A', 'KIF5A']	2	0	2	3	3	2	4	1	2	1	2	2	0	2	2	3	2	0	1	2	3	1	3	1	0	1	0	3	1	0	3	4	1	2	2	1	0	5	3	1	1	1	2	4	0	1	2	1	1
56	06410	Calcium signaling	64	['GRIN2A', 'PLCB1', 'CACNA1E', 'RYR2', 'CACNA1H', 'CACNA1I', 'PRKCG', 'ITPR1', 'CACNA1D', 'HTT', 'PRKN', 'PRKCB', 'DLG4', 'CACNA1F', 'CACNA1B', 'GRIN2D', 'GRIN2B', 'CACNA1G', 'CACNA1A']	0	0	1	1	4	3	2	0	3	1	4	1	0	0	2	3	1	1	1	1	1	0	1	0	0	2	0	3	0	1	1	2	1	2	4	1	0	2	0	1	2	1	0	4	0	2	1	1	2
4	06166	Human papillomavirus	58	['TERT', 'ATM', 'SOS2', 'MAML3', 'SOS1', 'TSC2', 'ATR', 'PDGFRB', 'CHD4', 'BCAP31', 'PATJ', 'EIF2AK2', 'MAPK3', 'DLG1', 'IGF1R', 'CREBBP', 'BRAF', 'RBL2', 'MTOR', 'EP300']	1	2	0	1	1	1	2	0	0	1	1	1	1	4	2	1	0	1	1	0	2	2	3	1	2	0	3	1	1	2	2	2	2	1	0	0	0	4	1	0	2	2	0	0	1	0	1	1	1
31	06462	Spinocerebellar ataxia	57	['RELN', 'GRIN2A', 'PLCB1', 'CACNA1E', 'CACNA1H', 'CACNA1I', 'TSC2', 'PRKCG', 'ITPR1', 'CACNA1D', 'PRKCB', 'CACNA1F', 'CACNA1B', 'RORA', 'GRIN2D', 'GRIN2B', 'KCNC1', 'CACNA1G', 'MTOR', 'CACNA1A']	0	1	1	1	3	4	2	1	1	1	1	1	0	1	1	4	1	1	0	1	1	2	0	1	1	2	0	4	1	0	1	1	1	2	1	0	0	2	0	1	0	1	0	3	1	2	1	1	1
11	06464	Amyotrophic lateral sclerosis	57	['NDUFS4', 'DNAH17', 'NUP133', 'TUBB4A', 'DNAH10', 'PLCB1', 'ITPR1', 'EIF2AK3', 'NRG2', 'PRKN', 'NXF1', 'DNAH3', 'NUP188', 'TUBA1A', 'NUP214', 'NDUFS2', 'TUBA8', 'NDUFA5', 'DCTN2', 'NDUFV1', 'NUP107', 'TUBB2A', 'HK1']	2	1	2	3	0	0	3	1	2	0	2	1	1	2	1	1	0	1	1	4	2	1	2	1	0	0	0	2	0	0	2	3	0	1	1	2	0	3	3	0	2	0	1	1	0	0	1	1	0
9	06460	Alzheimer disease	54	['NDUFS4', 'GRIN2A', 'TUBB4A', 'PLCB1', 'CACNA1E', 'CACNA1H', 'CACNA1I', 'ITPR1', 'EIF2AK3', 'CACNA1D', 'CACNA1F', 'TUBA1A', 'CACNA1B', 'MAPK3', 'NDUFS2', 'GRIN2D', 'TUBA8', 'NDUFA5', 'NDUFV1', 'SDHA', 'GRIN2B', 'CACNA1G', 'MAP3K5', 'BRAF', 'TUBB2A', 'CACNA1A', 'KIF5A']	1	0	2	1	3	2	1	1	1	1	0	1	0	1	1	3	1	2	1	2	1	1	1	0	0	1	0	3	2	0	2	1	1	2	1	0	0	1	1	1	1	1	1	3	0	2	1	0	1
24	06419	Microtubule-based transport	50	['DNAH17', 'TUBB4A', 'DNAH10', 'HTT', 'DNAH3', 'TUBA1A', 'TUBA8', 'DCTN2', 'TUBB2A', 'KIF5A']	1	0	2	2	0	0	2	0	3	0	1	1	0	2	1	0	0	0	1	2	1	0	3	1	0	1	0	0	0	0	1	2	0	2	4	0	0	3	3	0	3	0	2	2	0	0	1	2	1
55	06465	Prion disease	49	['GRIN2A', 'TUBB4A', 'PLCB1', 'CACNA1E', 'RYR2', 'CACNA1H', 'CACNA1I', 'ITPR1', 'EIF2AK3', 'CACNA1D', 'CACNA1F', 'TUBA1A', 'CACNA1B', 'MAPK3', 'GRIN2D', 'TUBA8', 'GRIN2B', 'CACNA1G', 'TUBB2A', 'CACNA1A', 'KIF5A']	0	0	2	1	4	2	2	1	1	1	0	1	0	1	2	3	1	2	0	2	0	0	0	0	0	1	0	3	0	0	1	1	1	2	1	0	0	1	1	1	1	1	1	3	0	2	1	0	1
36	06167	Human cytomegalovirus	49	['SOS2', 'PLCG2', 'PLCB1', 'SOS1', 'TSC2', 'PRKCG', 'PDGFRB', 'ITGB3', 'PRKACB', 'PIK3CG', 'MAP3K7', 'PRKCB', 'CX3CR1', 'MAPK3', 'CTNNB1', 'GNAS', 'IGF1R', 'ADCY3', 'BRAF', 'MTOR']	0	1	0	2	1	2	2	2	1	1	1	0	1	1	2	0	0	1	0	0	2	3	1	1	2	0	1	1	3	0	2	0	1	2	0	0	0	3	1	1	2	2	0	0	2	0	0	1	0
