index	KEGG_entry_ID	name	total_count	genes	19CT051360	19CT044120	19CT034631	19CT048087	19CT046369	19CT040719	20A0002478	19CT044751	19CT040732	19CT030002	19CT020478	DS187051	19PA009426	19CT036423	19CT016837	19CT024854	19CT028732	20A0000620	18PA008847	19CT040892	18PA004616	19CT035369	19CT036523	18PA004934	19CT044501	19CT034845	19CT039895	19CT052347	19CT013554	19CT041295	19PA009444	19CT044338	19CT024296	19CT024299	20A0000412	19CT039890	19CT030925	20A0007427	19CT031559	19CT046414	19CT034643	20A0004401	18PA004940	19CT031909	20A0004025	19CT014597	20A0002063	20A0000618	19CT039201
0	hsa01100	Metabolic pathways	364	['DBT', 'ALG3', 'NDUFS4', 'PGM3', 'SETD1A', 'ACOX1', 'KMT2B', 'SETDB1', 'DLD', 'INPP5E', 'DHTKD1', 'PIGT', 'CHKB', 'ACADM', 'PLCD4', 'CYP27A1', 'HSD17B4', 'ENPP1', 'ENTPD1', 'PIGQ', 'NAGLU', 'ADSL', 'FLAD1', 'CYP11B1', 'DHCR7', 'PLCG2', 'PLCB1', 'NSDHL', 'LBR', 'POMT1', 'PAH', 'ACACB', 'CA5A', 'PIGV', 'GALNT13', 'TKT', 'ASAH1', 'GPAA1', 'FCSK', 'ALG6', 'FH', 'HEXB', 'ALDH7A1', 'KMT2E', 'GALC', 'ENO3', 'DNMT3B', 'GK', 'PGAP1', 'FIG4', 'PIK3CG', 'GPT2', 'GALNS', 'DPYD', 'INPP4A', 'ATIC', 'CD38', 'NSD1', 'POMT2', 'GOT2', 'PLA2G6', 'GBA2', 'DPAGT1', 'SGSH', 'ATP5F1A', 'PCCB', 'EXT2', 'KMT2D', 'EARS2', 'CMPK2', 'MCCC2', 'DHFR', 'AASS', 'IVD', 'SUOX', 'PHGDH', 'UROC1', 'BST1', 'CYP2U1', 'PDE10A', 'PDE2A', 'ALG9', 'GALNT8', 'PCCA', 'COX10', 'EBP', 'ALDH4A1', 'ASH1L', 'MINPP1', 'ITPA', 'PISD', 'NSD2', 'AGPAT2', 'ST3GAL3', 'QARS1', 'MCCC1', 'ALDH18A1', 'SMPD1', 'LIPT2', 'MAOB', 'CPS1', 'KMT5B', 'GCH1', 'FKRP', 'NDUFS2', 'SETD2', 'PIGG', 'SETD1B', 'PMM2', 'PDE4D', 'MGAT2', 'GPHN', 'ATP6V0A1', 'ALG12', 'NDST1', 'NDUFA5', 'CA8', 'NANS', 'PIGU', 'ASL', 'NDUFV1', 'GLS', 'AMT', 'SDHA', 'CSGALNACT1', 'HPD', 'HLCS', 'GMPPA', 'SEPSECS', 'TH', 'PIGN', 'SCP2', 'GAD1', 'IDH2', 'RPE65', 'GCSH', 'ADCY3', 'FAH', 'SYNJ1', 'B3GALT6', 'CRPPA', 'MDH2', 'ALG2', 'COX15', 'COASY', 'PNPO', 'FASN', 'ST3GAL5', 'ATP6V0A2', 'HEXA', 'GSS', 'SUCLG1', 'BTD', 'KMT2C', 'ALG13', 'UGDH', 'PDE1C', 'HGSNAT', 'DDOST', 'IDS', 'AMPD1', 'SMPD4', 'POMGNT2', 'MLYCD', 'CA6', 'DHCR24', 'PYCR2', 'GLDC', 'MAN1B1', 'GUCY1A2', 'AHCY', 'POMGNT1', 'CAD', 'MOCS2', 'SPR', 'MOGS', 'ATP6V1B2', 'HK1', 'EXT1', 'FKTN', 'TK2', 'ALDH3A2', 'GMPS', 'GALNT10', 'MTFMT', 'MPI', 'INPP5K', 'GCDH', 'GBE1', 'RRM1', 'ACADS', 'MTR', 'MOCS1', 'PIGH', 'ADSS2', 'AMPD2', 'BCKDHB', 'ALDH5A1']	7	6	10	8	6	9	12	6	8	8	7	9	1	17	12	5	9	8	9	9	11	3	13	4	2	4	6	6	5	4	13	8	7	6	8	5	3	7	8	8	8	13	5	13	8	5	3	8	4
17	hsa05200	Pathways in cancer	141	['TERT', 'MET', 'LAMC3', 'DCC', 'SOS2', 'ESR2', 'EGLN2', 'FGFR1', 'LAMA2', 'GLI3', 'COL4A2', 'PLCG2', 'PLCB1', 'SOS1', 'PAX8', 'FGFR2', 'SMO', 'PRKCG', 'AR', 'FH', 'DVL3', 'PDGFRB', 'PTCH1', 'PRKACB', 'LAMB1', 'COL4A1', 'WNT1', 'ARNT2', 'GLI2', 'PRKCB', 'FGFR3', 'BRCA2', 'LAMA1', 'CTNNA3', 'APC2', 'NCOA1', 'NTRK1', 'MAPK3', 'SUFU', 'CTNNB1', 'SHH', 'GNAS', 'CSF1R', 'IGF1R', 'CREBBP', 'PIK3R2', 'ADCY3', 'BRAF', 'MTOR', 'EP300']	4	3	1	7	4	3	5	6	2	4	3	3	1	3	4	0	2	3	1	1	2	4	4	3	2	1	6	4	5	1	6	2	1	1	2	1	1	7	6	5	3	4	0	1	3	0	2	2	2
21	hsa05022	Pathways of neurodegeneration - multiple diseases	122	['NDUFS4', 'DNAH17', 'MAP3K10', 'GRIN2A', 'TUBB4A', 'DNAH10', 'PLCB1', 'RYR2', 'PRKCG', 'ITPR1', 'DVL3', 'GPR37', 'SPG11', 'EIF2AK3', 'FIG4', 'CACNA1D', 'HTT', 'WNT1', 'ATP5F1A', 'PRKN', 'PRKCB', 'DLG4', 'DNAH3', 'CACNA1F', 'GRIA4', 'TUBA1A', 'APC2', 'CACNA1B', 'ALS2', 'MAPK3', 'NDUFS2', 'GRIN2D', 'TUBA8', 'NDUFA5', 'DCTN2', 'CTNNB1', 'NDUFV1', 'SDHA', 'GRIN2B', 'MAP3K5', 'BRAF', 'GRIA2', 'MTOR', 'TUBB2A', 'KIF5A']	3	0	3	3	1	2	7	2	5	1	4	2	1	5	3	2	1	4	3	3	3	2	4	2	0	3	2	2	2	2	4	4	0	3	4	1	1	8	4	0	4	0	2	3	0	2	1	2	2
13	hsa05410	Hypertrophic cardiomyopathy	122	['TTN', 'CACNA2D2', 'CACNB2', 'LAMA2', 'RYR2', 'ITGB3', 'DMD', 'CACNA1D', 'ACE', 'SLC8A1', 'CACNA1F', 'LAMA1', 'CACNA2D1', 'DAG1', 'CACNA2D3']	1	2	3	4	5	1	11	5	6	1	2	2	5	4	3	0	0	1	2	0	3	0	4	5	3	0	1	5	5	2	1	2	0	1	2	2	3	0	2	4	2	1	0	6	2	3	2	2	1
12	hsa05414	Dilated cardiomyopathy	120	['TTN', 'CACNA2D2', 'CACNB2', 'LAMA2', 'RYR2', 'ITGB3', 'DMD', 'PRKACB', 'CACNA1D', 'SLC8A1', 'CACNA1F', 'LAMA1', 'CACNA2D1', 'GNAS', 'ADCY3', 'DAG1', 'CACNA2D3']	1	2	3	4	5	1	11	6	6	0	2	2	5	4	3	0	0	1	2	0	3	0	2	5	4	0	1	5	6	2	1	1	0	1	1	2	3	0	2	5	2	1	0	6	2	3	1	2	1
18	hsa05165	Human papillomavirus infection	114	['TERT', 'LAMC3', 'RELN', 'ATM', 'SOS2', 'MAML3', 'LAMA2', 'COL4A2', 'SOS1', 'TSC2', 'ATR', 'DVL3', 'PDGFRB', 'ITGB3', 'PRKACB', 'LAMB1', 'COL4A1', 'WNT1', 'COL1A1', 'CHD4', 'BCAP31', 'LAMA1', 'PATJ', 'APC2', 'EIF2AK2', 'MAPK3', 'TNR', 'ATP6V0A1', 'CTNNB1', 'COL1A2', 'GNAS', 'DLG1', 'CREBBP', 'PIK3R2', 'RBL2', 'ATP6V0A2', 'MTOR', 'THBS1', 'ATP6V1B2', 'EP300']	2	3	0	5	1	1	6	6	2	1	1	1	2	5	4	1	0	1	2	2	2	4	5	2	4	1	3	3	2	2	4	6	2	1	0	0	0	6	2	4	5	2	0	1	1	1	1	3	1
16	hsa05205	Proteoglycans in cancer	104	['ANK2', 'MET', 'HSPG2', 'FLNC', 'SOS2', 'FGFR1', 'ANK3', 'PLCG2', 'SOS1', 'SMO', 'PRKCG', 'FLNA', 'ITPR1', 'PTCH1', 'ITGB3', 'PRKACB', 'TWIST1', 'WNT1', 'PPP1R12A', 'COL1A1', 'PRKCB', 'MAPK3', 'CTNNB1', 'SHH', 'COL1A2', 'IGF1R', 'PIK3R2', 'BRAF', 'MTOR', 'THBS1']	2	3	1	2	2	5	4	3	5	2	1	0	0	3	3	3	2	4	3	2	3	4	2	0	2	1	2	2	1	1	2	1	3	2	0	1	1	6	1	2	3	3	2	3	1	0	2	1	2
41	hsa04510	Focal adhesion	98	['MET', 'LAMC3', 'RELN', 'FLNC', 'SOS2', 'DIAPH1', 'LAMA2', 'COL4A2', 'SOS1', 'PRKCG', 'FLNA', 'PDGFRB', 'ITGB3', 'LAMB1', 'COL4A1', 'PPP1R12A', 'COL1A1', 'PRKCB', 'LAMA1', 'MAPK3', 'TNR', 'CTNNB1', 'COL1A2', 'MYLK', 'IGF1R', 'PIK3R2', 'BRAF', 'THBS1', 'PAK2']	2	3	1	4	2	3	4	5	2	1	1	0	1	1	4	1	2	2	4	1	2	3	4	2	2	1	2	2	3	0	3	2	1	1	0	0	1	6	2	5	3	1	1	3	0	1	0	3	0
36	hsa04010	MAPK signaling pathway	96	['MET', 'CACNA2D2', 'FLNC', 'SOS2', 'FGFR1', 'CACNB2', 'CACNA1E', 'SOS1', 'FGFR2', 'CACNA1H', 'CACNA1I', 'PRKCG', 'FLNA', 'PDGFRB', 'PRKACB', 'CACNA1D', 'MAP3K7', 'PRKCB', 'FGFR3', 'CACNA1F', 'TAOK2', 'CACNA1B', 'NTRK1', 'RPS6KA2', 'MAPK3', 'NF1', 'CACNA2D1', 'CSF1R', 'IGF1R', 'CACNA1G', 'MAP3K5', 'BRAF', 'PPM1B', 'CACNA2D3', 'CACNA1A', 'PAK2']	1	4	2	0	6	4	1	1	2	3	1	3	0	1	4	3	4	4	3	1	2	1	2	0	0	0	2	1	2	0	4	1	2	3	2	0	2	7	1	2	1	2	0	5	1	1	1	2	1
37	hsa04151	PI3K-Akt signaling pathway	95	['MET', 'LAMC3', 'RELN', 'SOS2', 'PHLPP1', 'FGFR1', 'LAMA2', 'COL4A2', 'SOS1', 'FGFR2', 'TSC2', 'PDGFRB', 'ITGB3', 'PIK3CG', 'LAMB1', 'COL4A1', 'COL1A1', 'FGFR3', 'LAMA1', 'NTRK1', 'MAPK3', 'TNR', 'COL1A2', 'CSF1R', 'IGF1R', 'PIK3R2', 'RBL2', 'MTOR', 'THBS1']	2	3	1	4	3	1	4	6	1	2	0	2	1	2	3	0	1	3	1	1	1	3	3	2	2	1	3	3	3	1	3	2	1	1	1	0	1	4	2	4	3	1	1	2	1	1	0	4	0
