hsa03036 Chromosome and associated proteins (304)

  hsa:10274 STAG1; stromal antigen 1
  hsa:10524 KAT5; lysine acetyltransferase 5
  hsa:10499 NCOA2; nuclear receptor coactivator 2
  hsa:10419 PRMT5; protein arginine methyltransferase 5
  hsa:10592 SMC2; structural maintenance of chromosomes 2
  hsa:10464 PIBF1; progesterone immunomodulatory binding factor 1
  hsa:10142 AKAP9; A-kinase anchoring protein 9
  hsa:10381 TUBB3; tubulin beta 3 class III
  hsa:10382 TUBB4A; tubulin beta 4A class IVa
  hsa:10540 DCTN2; dynactin subunit 2
  hsa:10297 APC2; APC regulator of WNT signaling pathway 2
  hsa:1000 CDH2; cadherin 2
  hsa:1012 CDH13; cadherin 13
  hsa:10472 ZBTB18; zinc finger and BTB domain containing 18
  hsa:10735 STAG2; stromal antigen 2
  hsa:11198 SUPT16H; SPT16 homolog, facilitates chromatin remodeling subunit
  hsa:1105 CHD1; chromodomain helicase DNA binding protein 1
  hsa:10943 MSL3; MSL complex subunit 3
  hsa:10765 KDM5B; lysine demethylase 5B
  hsa:10771 ZMYND11; zinc finger MYND-type containing 11
  hsa:1062 CENPE; centromere protein E
  hsa:1063 CENPF; centromere protein F
  hsa:11335 CBX3; chromobox 3
  hsa:1107 CHD3; chromodomain helicase DNA binding protein 3
  hsa:1108 CHD4; chromodomain helicase DNA binding protein 4
  hsa:10841 FTCD; formimidoyltransferase cyclodeaminase
  hsa:10806 SDCCAG8; SHH signaling and ciliogenesis regulator SDCCAG8
  hsa:10733 PLK4; polo like kinase 4
  hsa:10844 TUBGCP2; tubulin gamma complex associated protein 2
  hsa:114791 TUBGCP5; tubulin gamma complex associated protein 5
  hsa:10847 SRCAP; Snf2 related CREBBP activator protein
  hsa:1106 CHD2; chromodomain helicase DNA binding protein 2
  hsa:10664 CTCF; CCCTC-binding factor
  hsa:1387 CREBBP; CREB binding protein
  hsa:1460 CSNK2B; casein kinase 2 beta
  hsa:1454 CSNK1E; casein kinase 1 epsilon
  hsa:136647 MPLKIP; M-phase specific PLK1 interacting protein
  hsa:157570 ESCO2; establishment of sister chromatid cohesion N-acetyltransferase 2
  hsa:1663 DDX11; DEAD/H-box helicase 11
  hsa:168400 DDX53; DEAD-box helicase 53
  hsa:171023 ASXL1; ASXL transcriptional regulator 1
  hsa:1778 DYNC1H1; dynein cytoplasmic 1 heavy chain 1
  hsa:1781 DYNC1I2; dynein cytoplasmic 1 intermediate chain 2
  hsa:1788 DNMT3A; DNA methyltransferase 3 alpha
  hsa:1789 DNMT3B; DNA methyltransferase 3 beta
  hsa:1654 DDX3X; DEAD-box helicase 3 X-linked
  hsa:1656 DDX6; DEAD-box helicase 6
  hsa:153241 CEP120; centrosomal protein 120
  hsa:163786 SASS6; SAS-6 centriolar assembly protein
  hsa:1641 DCX; doublecortin
  hsa:150468 CKAP2L; cytoskeleton associated protein 2 like
  hsa:1739 DLG1; discs large MAGUK scaffold protein 1
  hsa:2033 EP300; E1A binding protein p300
  hsa:2146 EZH2; enhancer of zeste 2 polycomb repressive complex 2 subunit
  hsa:221656 KDM1B; lysine demethylase 1B
  hsa:221037 JMJD1C; jumonji domain containing 1C
  hsa:200424 TET3; tet methylcytosine dioxygenase 3
  hsa:192669 AGO3; argonaute RISC catalytic component 3
  hsa:192670 AGO4; argonaute RISC component 4
  hsa:219844 HYLS1; HYLS1 centriolar and ciliogenesis associated
  hsa:203068 TUBB; tubulin beta class I
  hsa:196528 ARID2; AT-rich interaction domain 2
  hsa:2074 ERCC6; ERCC excision repair 6, chromatin remodeling factor
  hsa:2186 BPTF; bromodomain PHD finger transcription factor
  hsa:23028 KDM1A; lysine demethylase 1A
  hsa:23040 MYT1L; myelin transcription factor 1 like
  hsa:23309 SIN3B; SIN3 transcription regulator family member B
  hsa:23181 DIP2A; disco interacting protein 2 homolog A
  hsa:23067 SETD1B; SET domain containing 1B, histone lysine methyltransferase
  hsa:23054 NCOA6; nuclear receptor coactivator 6
  hsa:23081 KDM4C; lysine demethylase 4C
  hsa:23030 KDM4B; lysine demethylase 4B
  hsa:23135 KDM6B; lysine demethylase 6B
