genes,count,samples,KEGG_entry_ID,name
HTT,37,"{'19CT040732': 2, '19CT020478': 1, '20A0008882': 1, '19CT044566': 2, '19CT046641': 1, '19CT024233': 4, '20A0004217': 2, '18PA008847': 1, '19CT036523': 1, '19CT034845': 1, '19CT039196': 1, '19CT024234': 1, '19CT024299': 1, '20A0000412': 3, '20A0004327': 2, '19CT041747': 2, '19CT034643': 2, '20A0001282': 3, '19CT031909': 1, '19CT021756': 1, '20A0000618': 1, '19CT039201': 1, '19CT041822': 2}",hsa:3064,huntingtin
PLEC,35,"{'19CT044120': 1, '19CT034631': 1, '19CT046369': 1, '19PA009450': 1, '19PA009426': 1, '19CT024854': 1, '19CT046641': 1, '20A0000620': 4, '19CT034641': 1, '19CT040892': 1, '19PA009666': 1, '19CT044501': 1, '19CT052347': 2, '19CT039196': 1, '19PA009669': 1, '19CT024296': 1, '19CT024299': 1, '20A0000412': 1, '19CT041747': 1, '20A0007427': 1, '19CT046414': 1, '19CT016404': 1, '18PA004940': 1, '19CT031909': 2, '20A0004025': 3, '19CT014597': 1, '20A0002063': 1, '20A0004030': 1}",hsa:5339,plectin
SYNE1,34,"{'19CT048087': 3, '20A0002973': 1, '20A0004325': 2, '19CT016837': 1, '19CT024854': 1, '19CT046641': 1, '19CT028732': 2, '19CT024233': 1, '20A0004217': 1, 'DS184317': 1, '18PA008847': 1, '19CT040892': 2, '20A0004392': 2, '18PA004616': 1, '19CT036523': 1, '19CT034845': 1, '19CT039895': 1, '19CT052347': 1, '19CT041295': 1, '19PA009444': 1, '20A0004327': 1, '19CT039890': 1, '20A0007427': 1, '19CT046414': 1, '20A0001282': 1, '19CT045844': 2, '20A0000618': 1}",hsa:23345,spectrin repeat containing nuclear envelope protein 1
TNRC18,27,"{'19CT051360': 1, '20A0002478': 1, '19CT044751': 1, '19PA009450': 1, '19CT024854': 1, '19CT044566': 1, '19CT024233': 1, 'DS184317': 1, '19CT034641': 1, '19CT040892': 1, '19CT035369': 1, '19CT039895': 1, '18PA006387': 1, '19CT052347': 2, '19CT039196': 2, '19CT024234': 1, '19CT024296': 1, '19CT024299': 1, '19CT041747': 1, '19CT046414': 3, '19CT016403': 1, '20A0000618': 1, '19CT041822': 1}",hsa:84629,trinucleotide repeat containing 18
ABCA13,27,"{'19CT046369': 1, '19CT040719': 1, '20A0002478': 3, '19CT036423': 1, '19CT040892': 1, '20A0004392': 1, '19PA009666': 1, '19CT035369': 1, '19CT036523': 1, '18PA004934': 1, '19CT039895': 1, '19CT013554': 1, '19PA009444': 1, '20A0002445': 1, '19CT044338': 1, '19PA009669': 1, '20A0008697': 1, '19CT039890': 1, '19CT041747': 1, '19CT031559': 1, '19CT046414': 1, '18PA004940': 1, '20A0004025': 1, '20A0000618': 1, '19CT039201': 1}",hsa:154664,ATP binding cassette subfamily A member 13
FMN2,26,"{'19CT044120': 1, '19CT034631': 1, '19CT046369': 1, '19PA009426': 1, '19CT044566': 1, '19CT046641': 1, '19CT024233': 1, '20A0008698': 3, '20A0004217': 2, '19CT034641': 1, '19CT040892': 1, '19CT052347': 1, '19PA009444': 1, '19PA009669': 1, '20A0004327': 1, '19CT034643': 1, '19CT045844': 1, '20A0008696': 1, '20A0004025': 4, '19CT014597': 1}",hsa:56776,formin 2
ENTPD1,26,"{'19CT034631': 1, '19CT044751': 1, '20A0008882': 3, '19CT016837': 3, '20A0008698': 1, '20A0004217': 1, '19CT034641': 1, '18PA008847': 2, '20A0004392': 3, '19CT052347': 1, '19CT024296': 1, '20A0004401': 5, '19CT031909': 1, '20A0004025': 1, '20A0000618': 1}",hsa:953,ectonucleoside triphosphate diphosphohydrolase 1
HSPG2,25,"{'19CT044120': 1, '19PA009450': 1, '19CT030702': 2, '19CT036423': 3, '20A0008698': 1, '20A0004392': 1, '18PA004616': 1, '19CT044501': 1, '20A0002445': 2, '19PA009669': 1, '20A0008697': 1, '20A0004401': 1, '20A0001282': 1, '18PA004940': 1, '19CT045844': 1, '19CT031909': 1, '20A0008696': 1, '19PA009214': 1, '20A0002063': 1, '19CT039201': 1, '19CT041822': 1}",hsa:3339,heparan sulfate proteoglycan 2
DST,25,"{'19CT034631': 1, '19CT048087': 1, '19CT040732': 1, '20A0004325': 1, '20A0008882': 1, '19CT016837': 1, '19CT024854': 1, '20A0004217': 1, 'DS184317': 1, '19CT036523': 1, '19CT034845': 1, '18PA006387': 1, '19CT039196': 2, '19CT041295': 1, '19CT044338': 1, '19CT039890': 1, '19CT041747': 1, '20A0007427': 4, '19CT031909': 1, '20A0002063': 1, '19CT041822': 1}",hsa:667,dystonin
AHNAK,24,"{'19CT046369': 2, '19CT030702': 1, '19CT036423': 2, '19CT044566': 1, 'DS184317': 1, '20A0000620': 1, '18PA004616': 1, '19CT036523': 2, '18PA006387': 1, '18PA004715': 1, '19CT024296': 2, '19CT024299': 1, '20A0000412': 1, '20A0007427': 2, '19CT031559': 1, '19CT046414': 1, '20A0004401': 1, '20A0000618': 1, '20A0004030': 1}",hsa:79026,AHNAK nucleoprotein
