06460 Alzheimer disease (60)

  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:3708 ITPR1; inositol 1,4,5-trisphosphate receptor type 1
  hsa:1128 CHRM1; cholinergic receptor muscarinic 1
  hsa:1131 CHRM3; cholinergic receptor muscarinic 3
  hsa:775 CACNA1C; calcium voltage-gated channel subunit alpha1 C
  hsa:776 CACNA1D; calcium voltage-gated channel subunit alpha1 D
  hsa:778 CACNA1F; calcium voltage-gated channel subunit alpha1 F
  hsa:773 CACNA1A; calcium voltage-gated channel subunit alpha1 A
  hsa:774 CACNA1B; calcium voltage-gated channel subunit alpha1 B
  hsa:777 CACNA1E; calcium voltage-gated channel subunit alpha1 E
  hsa:8913 CACNA1G; calcium voltage-gated channel subunit alpha1 G
  hsa:8912 CACNA1H; calcium voltage-gated channel subunit alpha1 H
  hsa:8911 CACNA1I; calcium voltage-gated channel subunit alpha1 I
  hsa:2902 GRIN1; glutamate ionotropic receptor NMDA type subunit 1
  hsa:2903 GRIN2A; glutamate ionotropic receptor NMDA type subunit 2A
  hsa:2904 GRIN2B; glutamate ionotropic receptor NMDA type subunit 2B
  hsa:2906 GRIN2D; glutamate ionotropic receptor NMDA type subunit 2D
  hsa:5718 PSMD12; proteasome 26S subunit, non-ATPase 12
  hsa:9451 EIF2AK3; eukaryotic translation initiation factor 2 alpha kinase 3
  hsa:4217 MAP3K5; mitogen-activated protein kinase kinase kinase 5
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:4540 ND5; NADH dehydrogenase subunit 5
  hsa:4719 NDUFS1; NADH:ubiquinone oxidoreductase core subunit S1
  hsa:4720 NDUFS2; NADH:ubiquinone oxidoreductase core subunit S2
  hsa:4722 NDUFS3; NADH:ubiquinone oxidoreductase core subunit S3
  hsa:4724 NDUFS4; NADH:ubiquinone oxidoreductase subunit S4
